,source_text,target_text
4389,paraphrase: Não jogue esta revista!,Não jogue essa revista fora.
4390,paraphrase: O professor da escola de direção diz que eu deveria ter mais paciência.,O meu instrutor de condução diz que devo ser mais paciente.
4391,paraphrase: Meu instrutor da autoescola disse que eu preciso ser mais paciente.,O meu instrutor de condução diz que devo ser mais paciente.
4392,paraphrase: Quanto dinheiro vocês querem?,Quanto dinheiro você precisa?
4393,paraphrase: Quanto dinheiro quer?,Quanto dinheiro você quer?
4394,"paraphrase: Ele se atrasou, como sempre.","Ele estava atrasado, como de costume."
4395,paraphrase: A casa ruiu num terremoto.,A casa desmoronou num terremoto.
4396,paraphrase: Termine o trabalho!,Termina teu trabalho!
4397,paraphrase: Termine o seu trabalho!,Termina teu trabalho!
4398,paraphrase: Tom beijou Mary na roda-gigante.,O Tom beijou a Mary na roda-gigante.
4399,paraphrase: Melissa tornou-se fluente em Português em menos de dois anos.,Melissa se tornou fluente em português em menos de dois anos.
4400,paraphrase: Melissa aprendeu a falar fluentemente o Português em menos de dois anos.,Melissa se tornou fluente em português em menos de dois anos.
4401,paraphrase: Eles ficaram muito nervosos.,Elas ficaram muito nervosas.
4402,"paraphrase: Oi, eu sou Nancy.",Olá. Sou a Nancy.
4403,paraphrase: Ela ama correr.,Ele gosta de correr.
4404,paraphrase: Ela adora correr.,Ele gosta de correr.
4405,paraphrase: Ela mora em Nova Iorque.,Ela vive em Nova York.
4406,paraphrase: Somos jovens!,Nós somos jovens.
4407,paraphrase: Tenho algo para comer.,Eu tenho comida.
4408,paraphrase: Tom é mais velho que Mary.,Tom é bem mais velho do que Maria.
4409,paraphrase: O Tom é muito mais velho que a Mary.,Tom é bem mais velho do que Maria.
4410,paraphrase: Ele é francês.,Ela foi criada na França.
4411,paraphrase: Ela é francesa.,Ele veio da França.
4412,paraphrase: Ela vem da França.,Ela é da França.
4413,paraphrase: Mamãe está indo à cidade.,Mamãe vai à cidade.
4414,paraphrase: O senhor é Choctaw?,Você é Choctaw?
4415,paraphrase: Ela tem alguns livros.,Ela não tem muitos livros.
4416,paraphrase: Você foi ao cassino.,Vocês foram ao cassino.
4417,paraphrase: Fecharei a porta.,Eu vou fechar a porta.
4418,paraphrase: Abri uma porta.,Eu vou fechar a porta.
4419,paraphrase: Vou abrir a porta.,Eu abrirei a porta.
4420,paraphrase: Ubuntu inclui programas demais.,O Ubuntu inclui muito software.
4421,paraphrase: Depois da inconveniência vem a sabedoria.,Após a dor vem a sabedoria.
4422,paraphrase: Só Obama sabe disso.,Apenas o Obama sabe isso.
4423,paraphrase: Eu soluço de vez em quando.,Eu soluço muito.
4424,paraphrase: As ovelhas alimentam-se de capim.,As ovelhas estão se alimentado no pasto.
4425,paraphrase: Devo deixar-te.,Eu preciso deixá-las.
4426,paraphrase: Eu preciso deixá-lo.,Eu preciso deixá-las.
4427,paraphrase: Eu preciso deixá-la.,Eu preciso deixá-los.
4428,paraphrase: Ela gosta de todo tipo de esporte.,Ela gosta de todos os tipos de esportes.
4429,paraphrase: Qualquer um consegue fazer isso.,Qualquer um pode fazê-lo.
4430,paraphrase: Qualquer um pode fazer isso.,Qualquer um pode fazê-lo.
4431,paraphrase: Ele tapou o buraco no muro.,Ele tapou o buraco do muro.
4432,paraphrase: Ele encheu o buraco na parede.,Ele tapou o buraco do muro.
4433,paraphrase: Este é o meu e-mail.,Eis o meu endereço de e-mail.
4434,paraphrase: Você está livre amanhã?,Você tem tempo amanhã?
4435,paraphrase: Vocês estão livres amanhã?,Você vai ter tempo amanhã?
4436,paraphrase: Respondi à sua pergunta?,Eu respondi sua questão?
4437,paraphrase: Você já foi para Veneza?,Você já foi a Veneza?
4438,paraphrase: Você está indo assistir a reunião?,Você assistirá a reunião?
4439,paraphrase: Você está indo participar da reunião?,Você participará da reunião?
4440,paraphrase: Você deve se adaptar às circunstâncias.,Você deve se adaptar à situação.
4441,paraphrase: Você o conhece tanto assim?,Você o conhece bem?
4442,paraphrase: Você o conhece tão bem assim?,Você o conhece bem?
4443,paraphrase: Ele fugiu assim que viu um policial.,Ele deu no pé logo que viu um policial.
4444,paraphrase: Estou acostumado a trabalhar duro.,Estou acostumado ao trabalho duro.
4445,paraphrase: Eu estava acostumado com trabalho árduo.,Eu estava acostumado a trabalhar muito.
4446,paraphrase: Meu pai fez um gesto para que eu saísse do quarto.,Meu pai fez um sinal para eu sair do quarto.
4447,paraphrase: Meu pai fez um sinal para que eu deixasse o quarto.,Meu pai fez um sinal para eu sair do quarto.
4448,"paraphrase: Ele chegou ao seu objetivo, finalmente.","Finalmente, ele atingiu seu objetivo."
4449,paraphrase: Ele finalmente atingiu seu objetivo.,Ele finalmente alcançou seus objetivos.
4450,paraphrase: Seria bom se você soubesse cantar.,Seria bom que você soubesse cantar.
4451,paraphrase: Ele veio ao Japão quando era um menino de dez anos.,Ele veio ao Japão quando tinha apenas dez anos.
4452,paraphrase: O Bill me ligou ontem à noite.,Bill me ligou na noite passada.
4453,paraphrase: Fui picado pelos mosquitos.,Eu fui picado por um mosquito.
4454,paraphrase: Ele não é o meu primo.,Ele não é meu primo.
4455,paraphrase: Brian foi para a escola com Kate.,Brian foi ao colégio com Kate.
4456,"paraphrase: Traga-me o jornal, por favor.",Você poderia assinar o nosso jornal?
4457,paraphrase: Ela é uma cozinheira terrível.,Ela é uma péssima cozinheira.
4458,paraphrase: Sua filha não cozinha bem.,A filha dele cozinha mal.
4459,paraphrase: A filha dela não cozinha bem.,A filha dele cozinha mal.
4460,paraphrase: Podemos ver o problema de diversos ângulos.,Podemos considerar o problema sob vários pontos de vista.
4461,paraphrase: Minha irmã toca piano todo dia.,Minha irmã toca piano todos os dias.
4462,"paraphrase: Até onde eu sei, este livro nunca foi traduzido para o japonês.","Que eu saiba, o livro nunca foi traduzido para japonês."
4463,paraphrase: Posso pegar seu carro emprestado?,Posso pegar emprestado o teu carro?
4464,paraphrase: Eu posso pegar emprestado o seu carro?,Posso pegar emprestado o teu carro?
4465,paraphrase: Os dinossauros apagaram-se há muito tempo.,Os dinossauros foram extintos há muito tempo atrás.
4466,paraphrase: Dinossauros desapareceram há muito tempo.,Os dinossauros foram extintos há muito tempo atrás.
4467,"paraphrase: Um dia, quando ela estava junto daquela fonte, veio ter com ela uma pobre mulher, que lhe pediu que lhe desse de beber.","Certo dia, quando estava perto da fonte, uma pobre mulher veio me pedir algo para beber."
4468,paraphrase: Eu encontrei uma coisa super legal!,Encontrei algo incrível!
4469,"paraphrase: Ah, que bonito!",Ah! como é belo!
4470,"paraphrase: Ah, que beleza!",Ah! como é belo!
4471,paraphrase: Ele é japonês.,Ela é japonesa.
4472,paraphrase: Eu não te disse isso?,Eu não disse?
4473,paraphrase: Ela está olhando para nós.,Ela está olhando para a gente.
4474,paraphrase: Você viu o jogo?,Você viu a partida?
4475,paraphrase: Como exatamente você fez isso?,Como foi exatamente que as senhoras fizeram isso?
4476,paraphrase: Como é exatamente que tu fizeste isso?,Como exatamente os senhores fizeram isso?
4477,paraphrase: Como fizestes vós isso exatamente?,Como é que a senhora fez isso exatamente?
4478,paraphrase: Como foi exatamente que vocês fizeram isso?,Com fez isso o senhor exatamente?
4479,paraphrase: Você sabe o motivo?,Sabem por quê?
4480,paraphrase: Você sabe por quê?,Sabe por quê?
4481,paraphrase: Vocês sabem por quê?,Sabes por quê?
4482,paraphrase: Nós devemos recomeçar.,Devemos fazer um novo começo.
4483,paraphrase: Devemos recomeçar.,Devemos fazer um novo começo.
4484,paraphrase: Acontece o tempo todo.,Isto acontece sempre.
4485,paraphrase: Isso acontece toda hora.,Isto acontece sempre.
4486,paraphrase: Tu tens um plano?,Vocês têm um mapa?
4487,paraphrase: Você tem um plano?,O senhor tem um mapa?
4488,paraphrase: Tens um bilhete?,Ela tem um piano?
4489,paraphrase: Tem um bilhete?,Você tem um bilhete?
4490,paraphrase: Vocês têm xampu?,Tem xampu?
4491,paraphrase: Todo mundo está te esperando.,Eles estão todos te esperando.
4492,"paraphrase: Tudo bem, pegue-o.","Bem, pegue-o."
4493,"paraphrase: Bom, pegue-o.","Bem, pegue-o."
4494,paraphrase: Cavalos são diferentes de burros.,Cavalos e burros são diferentes.
4495,paraphrase: Cavalos e asnos são diferentes.,Cavalos e burros são diferentes.
4496,paraphrase: Você tem dois irmãos mais novos.,Você tem dois irmãos.
4497,paraphrase: Virei se o tempo permitir.,Eu virei se tiver tempo.
4498,paraphrase: O ano novo começará.,O ano novo está chegando.
4499,paraphrase: O ano novo vai começar.,O ano novo está chegando.
4500,paraphrase: Ela estava vestindo um casaco grosso contra o frio.,Ela estava a usar um casaco pesado para se proteger do frio.
4501,paraphrase: Acho que meu alemão é mesmo ruim.,Eu acho que não sou bom em alemão.
4502,paraphrase: Eu acho que meu alemão é realmente uma bosta.,Eu acho que não sou bom em alemão.
4503,paraphrase: Não posso te contar mais nada. Já falei demais.,Não te posso contar nada mais. Já falei demais.
4504,"paraphrase: Deus é o criador. O céu e a terra e os homens, tudo foi criado por Deus salvo o próprio Deus.","Deus é o criador. O céu, a terra, o homem, tudo foi criado por Ele, exceto Ele mesmo."
4505,"paraphrase: Deus é o Criador. O céu e a terra e as pessoas e tudo, exceto Deus, foi criado.","Deus é o criador. O céu, a terra, o homem, tudo foi criado por Ele, exceto Ele mesmo."
4506,paraphrase: Deus está morto. Nós o matamos.,"Deus morreu, e fomos nós quem o matamos."
4507,paraphrase: Deus é a nossa força.,Deus é nossa força.
4508,paraphrase: Eu sou mais baixo que ele.,Eu sou mais baixa que ele.
4509,paraphrase: Quer que lhe dê alguma coisa para ler?,Deveria te dar algo para ler?
4510,"paraphrase: Alguns cientistas acreditam que os golfinhos são, depois dos humanos, os animais mais inteligentes do mundo, e que algum dia, talvez, poderemos falar com eles.","Alguns cientistas acham que os golfinhos são os animais mais inteligentes do mundo tirando os homens, e que nós seremos, um dia, capazes de falar com eles."
4511,paraphrase: Ele usa óculos.,O homem usa óculos.
4512,paraphrase: O menino usa óculos.,O homem usa óculos.
4513,paraphrase: Ela usa óculos.,Aquele menininho usa óculos.
4514,paraphrase: Ele usa óculos de sol.,O garoto usa óculos.
4515,paraphrase: Ele está usando óculos.,O homem está usando um par de óculos.
4516,paraphrase: Ela está usando óculos de sol.,Tom está usando óculos escuros.
4517,paraphrase: Chris brandiu sua espada!,Chris balançou a sua espada!
4518,"paraphrase: No meu mundo todos são pôneis, eles comem arco-íris e o cocô deles são borboletas.",No meu mundo todos são pôneis e todos comem arco-íris e cagam borboletas.
4519,"paraphrase: Não, obrigado. Eu estou cansado.","Não, obrigada. Eu estou cansada."
4520,paraphrase: Espera-se que cada pessoa traga seu próprio almoço.,Todos têm de trazer o seu próprio almoço.
4521,paraphrase: Tinha de trabalhar de domingo.,Eu tive de trabalhar no domingo.
4522,paraphrase: Chamo-me Henri.,Meu nome é Henry.
4523,paraphrase: Chamo-me Henry.,Meu nome é Henry.
4524,paraphrase: Nos mostraram todas as fotos de família deles.,Mostraram-nos todas as suas fotos de família.
4525,paraphrase: Abriram muitas fábricas novas.,Muitas fábricas novas foram abertas.
4526,paraphrase: Enviarei uma carta para a minha mãe.,Vou enviar uma carta para minha mãe.
4527,"paraphrase: Você fala Esperanto, não é?","Você fala esperanto, certo?"
4528,"paraphrase: Não importa o que aconteça, eu não vou mudar de ideia.","Haja o que houver, não mudarei de ideia."
4529,"paraphrase: Não importa o que aconteça, nunca mudarei de opinião.","Haja o que houver, não mudarei de ideia."
4530,paraphrase: Nós devemos começar a reunião agora?,Começamos a reunião agora?
4531,paraphrase: Ontem à noite cheguei tarde.,Eu cheguei tarde ontem à noite.
4532,paraphrase: Eu ainda penso nela de vez em quando.,Às vezes sinto falta dela.
4533,paraphrase: É muito longe.,Isso está longe demais.
4534,paraphrase: É longe demais.,Isso está longe demais.
4535,paraphrase: Está longe demais.,Isso é longe demais.
4536,paraphrase: Eu me mudei para cá ontem.,Eu me mudei para esta casa ontem.
4537,paraphrase: Esta é a sua família?,Esta é a tua família?
4538,paraphrase: A praia está perto desta área?,A praia fica perto daqui?
4539,paraphrase: A praia fica perto desta área?,A praia fica perto daqui?
4540,"paraphrase: Estou feliz por não termos ido lá, pois havia fortes chuvas.","Estou feliz que não tenhamos ido lá, porque houve algumas chuvas fortes na região."
4541,paraphrase: Dizem que continua vivo.,Parece que ele ainda está vivo.
4542,paraphrase: Está chovendo?,O tempo está chuvoso?
4543,paraphrase: Está chovendo agora?,O tempo está chuvoso?
4544,paraphrase: Esta é uma reunião muito importante. Você não deveria perdê-la.,"Esta conferência é muito importante, não vá perdê-la!"
4545,paraphrase: O jantar está pronto?,O almoço está pronto?
4546,paraphrase: Aceitamos cheques.,Nós aceitamos cheques.
4547,paraphrase: Eu não desisto nunca.,Eu nunca vou desistir.
4548,paraphrase: Nunca desisto.,Eu nunca desisto.
4549,paraphrase: Cuide da sua saúde.,Cuide bem de sua saúde.
4550,paraphrase: Eu levo minha saúde a sério.,Cuide bem de sua saúde.
4551,paraphrase: Vou deixar o colégio.,Deixarei a escola.
4552,paraphrase: Eu nunca estive na América.,Eu nunca fui aos Estados Unidos.
4553,paraphrase: Nunca estive nos Estados Unidos.,Eu nunca fui aos Estados Unidos.
4554,paraphrase: Quero te apresentar a alguns amigos meus.,Gostaria de apresentar alguns amigos meus.
4555,"paraphrase: Na França, consome-se muito vinho.",Na França consome-se uma grande quantidade de vinho.
4556,paraphrase: Estas cinzas vulcânicas imobilizaram o tráfego aéreo.,Cinzas vulcânicas atrapalharam as viagens aéreas.
4557,paraphrase: As cinzas do vulcão bloquearam o tráfego aéreo.,Cinzas vulcânicas atrapalharam as viagens aéreas.
4558,paraphrase: Confiamo-nos a Deus.,Acreditamos em Deus.
4559,paraphrase: Temos fé em Deus.,Cremos em Deus.
4560,paraphrase: Meu pai estava a ponto de ir embora quando o telefone tocou.,Meu pai estava para sair quando o telefone tocou.
4561,paraphrase: Mostre-me o que tem no seu bolso.,Mostre-me o que você tem no bolso.
4562,paraphrase: Ela avisou às crianças para não brincarem na rua.,Ela advertiu às crianças que não jogassem na rua.
4563,paraphrase: Meu relógio precisa ser consertado.,Preciso mandar consertar meu relógio.
4564,paraphrase: Meu relógio precisa de um conserto.,Preciso mandar consertar meu relógio.
4565,paraphrase: Obrigaram-no a confessar.,Ela foi forçada a confessar.
4566,paraphrase: Meu avô adora ler.,Meu avô gosta de ler livros.
4567,paraphrase: Este livro dar-lhe-á uma ideia clara do modo de vida americano.,Este livro vai lhe proporcionar uma ideia clara do modo americano de viver.
4568,paraphrase: Ele sugeriu que deveríamos ficar.,Ele nos sugeriu ficar.
4569,paraphrase: Por que você está me ignorando?,Por que você tem me ignorado?
4570,paraphrase: O que vocês acham de irmos ao campo soltar pipa?,O que é que você acha de irmos ao campo soltar papagaio?
4571,paraphrase: A estátua da liberdade é o símbolo da América.,A Estátua da Liberdade é um símbolo da America.
4572,paraphrase: Ouvi dizer que você ia se casar.,Ouvi falar que ias casar.
4573,paraphrase: Nos visite quando estiver livre.,Venha nos visitar quando estiver livre.
4574,paraphrase: Esses sapatos são grandes o suficiente para mim.,Estes sapatos são grandes demais para mim.
4575,paraphrase: Estes sapatos são muito grandes para mim.,Estes sapatos são grandes demais para mim.
4576,paraphrase: Eu não sei o que realmente aconteceu.,Não sei o que aconteceu.
4577,paraphrase: Ele tem de ir agora mesmo?,Ele precisa ir justo agora?
4578,paraphrase: A cidade a qual nasci é famosa por seus antigos castelos.,A cidade onde eu nasci é famosa por seu velho castelo.
4579,paraphrase: A cidade em que eu nasci é famosa por seu antigo castelo.,A cidade onde eu nasci é famosa por seu velho castelo.
4580,paraphrase: Eu decidi contar a ela que o amo.,Decidi dizer-lhe a ele que a amo.
4581,paraphrase: Eu decidi falar do meu amor para ela.,Decidi dizer-lhe a ele que a amo.
4582,paraphrase: Eu decidi contar-lhe que a amo.,Decidi dizer-lhe que a quero.
4583,paraphrase: Eu decidi lhe dizer que eu a amo.,Eu decidi dizer a ele que eu o amo.
4584,paraphrase: Ele andou devagar para que a criança conseguisse o acompanhar.,Ele andou devagar para que as crianças pudessem segui-lo.
4585,paraphrase: Ele caminhava lentamente para que o menino o pudesse seguir.,Ele andou devagar para que as crianças pudessem segui-lo.
4586,paraphrase: Ele sugeriu que eu o acompanhasse à festa.,Ele me convidou para uma festa.
4587,paraphrase: Ele me convidou para a festa.,Ele me convidou para uma festa.
4588,paraphrase: Ele está se preparando para a prova.,Ele está a preparar-se para o teste.
4589,paraphrase: Eu normalmente pago em cartão de crédito em vez de dinheiro vivo.,Ele normalmente utiliza cartões de crédito ao invés de dinheiro vivo.
4590,"paraphrase: Se você não conseguir consertar o cano, será preciso chamar um encanador.","Se você não puder consertar o cano, teremos de chamar um encanador."
4591,paraphrase: Não tenho nada melhor para fazer.,Já terminei a tarefa.
4592,paraphrase: Eu já terminei meu trabalho.,Já terminei a tarefa.
4593,paraphrase: Terminei o trabalho.,Eu tentei fazer tudo o que podia.
4594,paraphrase: Não posso fazer melhor.,Fiz o melhor que pude.
4595,paraphrase: Fiz o que podia.,Fiz o melhor que me foi possível.
4596,paraphrase: Eu fiz o meu melhor.,Você fez o seu melhor.
4597,paraphrase: Meu trabalho está terminado.,Você fez tudo o que estava ao seu alcance.
4598,paraphrase: Eu fiz o que pude.,Você fez o máximo possível.
4599,paraphrase: Eu fiz a minha parte.,Você fez o melhor que pôde.
4600,paraphrase: Eu já terminei o trabalho.,Finalizei meu trabalho.
4601,paraphrase: Terminei meu trabalho.,Acabei meu trabalho.
4602,paraphrase: Ouvi um barulho estranho.,Eu ouvi um som incomum.
4603,paraphrase: Ele me mostrou escondido a foto dela.,"Ele, secretamente, me mostrou a foto dela."
4604,paraphrase: Ele me mostrou a sua foto em segredo.,Ele me mostrou a foto dela em segredo.
4605,paraphrase: Ele estava com tanta raiva que não conseguia nem falar.,Ele estava muito nervoso para falar.
4606,paraphrase: Ele estava chateado demais para falar.,Ele estava muito nervoso para falar.
4607,paraphrase: A Terra gira ao redor do Sol.,A Terra gira à volta do Sol.
4608,paraphrase: A Terra gira em torno do Sol.,A Terra gira à volta do Sol.
4609,paraphrase: A Terra orbita o Sol.,A terra descreve uma órbita ao redor do sol.
4610,paraphrase: A Terra descreve uma órbita em torno do Sol.,A terra move-se numa órbita em torno do sol.
4611,paraphrase: A Terra se encontra em órbita do Sol.,A terra gravita ao redor do sol.
4612,paraphrase: Que ele é um gênio está claro para todos.,É óbvio para todos que ele é um gênio.
4613,paraphrase: O Tom odeia isso.,Tom odeia.
4614,paraphrase: O que vocês comem em seu país?,O que se come no seu país?
4615,"paraphrase: Posso usar o telefone? ""Por favor.""","Posso falar ao telefone? ""Sim, por favor."""
4616,"paraphrase: Posso fazer uma ligação telefônica? ""Sim, adiante.""","Posso falar ao telefone? ""Sim, por favor."""
4617,paraphrase: Vem assistir a um filme comigo?,Por que não vem ao cinema comigo?
4618,paraphrase: Este dicionário é muito útil para mim.,Este dicionário me tem sido de grande utilidade.
4619,"paraphrase: Por favor, pergunta se eles têm esse livro na biblioteca.","Pergunta se há esse livro na biblioteca, por favor."
4620,paraphrase: O menino estava de torso nu.,O garoto estava pelado até a cintura.
4621,paraphrase: Tom bebeu demais.,Tom bebia bastante.
4622,paraphrase: Tom bebeu muito.,Tom bebia bastante.
4623,paraphrase: Não coloque muito sal.,Não ponham muito sal.
4624,paraphrase: Tom começou a chorar.,Tom irrompeu em lágrimas.
4625,paraphrase: Tom estava chorando.,Tom gritava.
4626,paraphrase: Tom estava a chorar.,Tom grunhiu.
4627,paraphrase: Tom está chorando.,Tom desabou e começou a chorar.
4628,paraphrase: O Tom está gritando.,Tom estava gritando.
4629,paraphrase: Tom chorou até esgotar as lágrimas.,Tom sussurrou.
4630,paraphrase: Tom ligou.,Tom estava gemendo.
4631,paraphrase: Tom gritou.,Tom começou a gritar.
4632,paraphrase: Tom telefonou.,Tom resmungou.
4633,paraphrase: Tom chorou.,Tom gemeu.
4634,paraphrase: Tom suspirou.,Tom deu um suspiro.
4635,"paraphrase: Por favor, traga-me um pedaço de papel.","Por favor, dê um pedaço de papel para mim."
4636,paraphrase: Você não deve ir ao dentista.,Tu não deves ir ao dentista.
4637,paraphrase: Estou usando o Twitter.,Eu uso o Twitter.
4638,paraphrase: Eu uso Twitter.,Eu uso o Twitter.
4639,paraphrase: O gato pegou o rato.,O gato pegou um rato.
4640,"paraphrase: Até onde eu sei, essa palavra não existe.","Pelo que eu sei, não existe tal palavra."
4641,paraphrase: Você está no meio.,Tu estás a impedir-me a passagem.
4642,paraphrase: Você está no meu caminho.,O senhor está impedindo-me a passagem.
4643,paraphrase: Você está interferindo.,Tu estás impedindo-me a passagem.
4644,paraphrase: Era um coelho mau.,Era um coelho malvado.
4645,paraphrase: Adivinha onde estive.,Adivinhe onde estive.
4646,paraphrase: Estou cansado desta vida monótona.,Estou terrivelmene enfadado desta vida monótona.
4647,paraphrase: Algumas vezes ele é um cara estranho.,Às vezes ele pode ser um tipo estranho.
4648,paraphrase: Às vezes ele age de maneira bem estranha.,Às vezes ele pode ser um tipo estranho.
4649,paraphrase: Você sabe se ele fala ou não inglês?,Vocês sabem se ela fala inglês?
4650,paraphrase: Estou começando a ter saudade de minha amiga.,Estou começando a sentir falta de minha amiga.
4651,paraphrase: Acho que você me entendeu mal.,Acho que vocês me entenderam mal.
4652,paraphrase: Você leu tudo?,Você leu isso tudo?
4653,paraphrase: Vocês leram tudo?,Você leu isso tudo?
4654,"paraphrase: Sim, mas ela acaba de sair.","É, mas ela acabou de sair."
4655,paraphrase: O carro foi parar contra uma árvore.,O carro colidiu com uma árvore.
4656,paraphrase: Um menino ou uma menina?,É menino ou menina?
4657,paraphrase: Gosto da China.,Eu gosto da China.
4658,paraphrase: Eu já lhe disse para não fumar no seu quarto.,Eu já te pedi que não fumes no quarto.
4659,paraphrase: Eu devo o que sou hoje ao meu tio.,O que eu sou hoje em dia devo ao meu tio.
4660,paraphrase: Eu dei o seu carro.,Eu te dei a casa.
4661,paraphrase: Eu dei o teu carro.,Eu te dei a casa.
4662,paraphrase: Quando acabou?,Quando terminou?
4663,paraphrase: Tenho trabalhado aqui há dez anos.,Eu trabalhei aqui por dez anos.
4664,paraphrase: Tom não sabe como se divertir.,Tom não sabe divertir-se.
4665,paraphrase: Eles prenderam o ladrão numa árvore.,Eles ataram o ladrão à árvore.
4666,paraphrase: Sua mãe fala seis línguas — isso é loucura.,Que louco! Sua mãe fala seis línguas.
4667,paraphrase: Ele está debaixo da cadeira.,Está embaixo da cadeira.
4668,paraphrase: Está embaixo da mesa.,Está embaixo da cadeira.
4669,paraphrase: Sidney fica longe daqui.,Sidnei fica a milhas daqui.
4670,paraphrase: Você já tinha visto um filme tão bom?,Vocês já viram um filme tão lindo quanto este?
4671,paraphrase: Você já viu um fonte tão belo?,Já viste um filme tão bonito quanto este?
4672,paraphrase: Você já viu um filme tão bom assim?,Você já vira um filme tão bonito?
4673,"paraphrase: Ele pode fazer as duas coisas, falar e escrever russo.",Ele pode falar e escrever em russo.
4674,paraphrase: O verão acabou.,O verão terminou.
4675,paraphrase: Ele tentou várias maneiras diferentes.,Ele tentou vários métodos distintos.
4676,paraphrase: Você conhece seu irmão mais velho?,Conheces o irmão dela?
4677,paraphrase: Conheces o irmão dele?,Conheces o irmão dela?
4678,paraphrase: Ele normalmente se acorda às seis.,Eu costumo me levantar às seis.
4679,paraphrase: Acordo habitualmente às seis.,Eu costumo acordar às seis horas.
4680,paraphrase: Desperto-me geralmente às seis.,Eu costumo acordar às 6.
4681,paraphrase: Costumo acordar às seis.,Eu geralmente levanto-me às 6:00.
4682,paraphrase: Minha língua materna é o japonês.,O japonês é nossa língua materna.
4683,paraphrase: Ele fala cinco idiomas.,Eu falo cinco línguas.
4684,paraphrase: Ele sabe falar cinco idiomas.,Eu falo cinco idiomas.
4685,paraphrase: Qual língua se fala na América?,Que língua se fala nos Estados Unidos?
4686,paraphrase: Qual é a língua falada nos Estados Unidos?,Que línguas são faladas na América?
4687,paraphrase: Minha mãe cozinhou dez ovos.,Minha mãe ferveu dez ovos.
4688,paraphrase: Eu o conheci na estação.,Eu vi ele na estação.
4689,paraphrase: Eu me encontrei com ele na estação.,Eu vi ele na estação.
4690,paraphrase: Ele me encontrou um táxi.,Ele me arranjou um táxi.
4691,paraphrase: Eu também estou bem.,Estou bem também.
4692,paraphrase: Eu não gosto da forma que ela ri.,Não gosto do jeito que ele ri.
4693,paraphrase: Que dia mais caloroso!,Mas que dia mais quente!
4694,paraphrase: Conheci um tal de Sr. Smith.,Eu conheço um cara chamado Smith.
4695,paraphrase: Sou quase outra pessoa.,Eu sou apenas outro homem.
4696,paraphrase: Estou de acordo com algumas de suas opiniões.,Eu perfilho algumas das teorias das senhoras.
4697,paraphrase: Concordo com algumas das suas opiniões.,Eu perfilho algumas das teorias das senhoras.
4698,paraphrase: Concordo com alguns de teus pontos de vista.,Aceito algumas maneiras de pensar dos senhores.
4699,paraphrase: Estou de acordo com alguns de vossos julgamentos.,Associo-me à senhora em alguns de seus pareceres.
4700,paraphrase: Eu concordo com algumas das ideias de vocês.,Ponho-me de acordo com alguns dos conceitos do senhor.
4701,paraphrase: De vez em quando ele vai a Tóquio a negócios.,De vez em quando ele viaja a Tókio a trabalho.
4702,paraphrase: O som a acordou.,O barulho acordou.
4703,paraphrase: Eles querem participar nos Jogos Olímpicos.,Eles querem participar dos Jogos Olímpicos.
4704,paraphrase: Ela é menos inteligente do que você.,Ela não é tão inteligente quanto você.
4705,paraphrase: Eu não sabia para onde ir.,Não sei para onde ir.
4706,paraphrase: Não sei aonde ir.,Não sei para onde ir.
4707,paraphrase: A situação piorou.,As coisas pioraram.
4708,paraphrase: O senhor agravou a situação.,As coisas pioraram.
4709,paraphrase: Eles brigaram.,Elas brigaram.
4710,paraphrase: Eles discutiram.,Elas brigaram.
4711,paraphrase: Eles tiveram uma briga.,Lutaram.
4712,paraphrase: Eles estavam discutindo.,Eles lutaram.
4713,paraphrase: Eles estavam brigando.,Elas estavam brigando.
4714,paraphrase: Com certeza ela tentará outra vez.,Ela vai tentar mais uma vez.
4715,"paraphrase: Um filme de terror é só um filme. Assim que você desliga a televisão, acabou. Mas a vida... você está preso a ela.",A História em nada se parece com o que se lê nos livros de história.
4716,paraphrase: Você já fez isso alguma vez?,Vocês já fizeram isso alguma vez?
4717,"paraphrase: Nós esperamos por muito tempo, mas ela não apareceu.","Nós esperamos bastante, mas ele não apareceu."
4718,paraphrase: O romance dele foi traduzido para japonês.,Seu romance foi traduzido para o japonês.
4719,paraphrase: Eu não consegui não rir do corte de cabelo dele.,Não pude evitar de rir do seu corte de cabelo.
4720,paraphrase: Ela está escovando seu cabelo.,Ela escovou os cabelos.
4721,paraphrase: Ela está escovando os cabelos.,Ela escovou os cabelos.
4722,paraphrase: A história não está de acordo com os fatos.,A história não corresponde aos fatos.
4723,"paraphrase: Quando olho esta foto, lembro-me de minha família.","Quando eu vejo esta fotografia, eu penso em minha família."
4724,"paraphrase: Você mentiu para mim, não foi?",Eles mentiram para mim.
4725,"paraphrase: Vocês mentiram para mim, não mentiram?",Eles mentiram.
4726,paraphrase: Você mentiu para mim.,Vocês mentiram para mim!
4727,paraphrase: Eu vivo em Hyogo.,Eu moro em Hyogo.
4728,paraphrase: Preferiria ficar em casa a ir pescar.,Eu prefiro ficar em casa para ir pescar.
4729,paraphrase: Eu tinha a sua idade.,Eu tinha a mesma idade que vocês.
4730,paraphrase: Eu tinha a tua idade.,Eu tinha a mesma idade que vocês.
4731,paraphrase: Ela o matou com uma faca.,Ela o assassinou com uma faca.
4732,"paraphrase: Se você continuar reclamando, aí eu vou ficar nervoso de verdade.","Se você continuar a se queixar, vou ficar bravo de verdade."
